No.,transition,lambda(invacuo),Ei(cm^-1),Ek(cm^-1),gi,gk,Aki(10^8s^-1),fik,S(a.u.),log(gf),
224,5G-7H,46537.89194040,105291.93789,107440.72452,10,12,0.50871E-02*,0.19810,303.34,0.37606,
225,5G-8H,37405.65452338,105291.93789,107965.33049,10,12,0.23383E-02*,0.58826E-01,72.401,-0.15125,
226,6S-7p,123717.97761276,106632.42037,107440.71033,2,2,0.97897E-03,0.22452,182.79,-0.34771,
227,6S-6P,7396422794.1685,106632.42037,106632.43389,2,4,0.47370E-16*,0.77660E-04,3780.0,-3.50774,
228,6S-7P,123716.67445022,106632.42037,107440.71885,2,4,0.97890E-03*,0.44900,365.55,0.25431,
229,6p-7S,123717.97761276,106632.42037,107440.71033,2,2,0.42171E-03,0.96717E-01,78.741,-0.71347,
230,6p-6d,7396422794.1685,106632.42037,106632.43389,2,4,0.43310E-16*,0.71004E-04,3456.0,-3.54666,
231,6p-7d,123716.67445022,106632.42037,107440.71885,2,4,0.14201E-02*,0.65135,530.29,0.41587,
232,6P-7S,123720.04704476,106632.43389,107440.71033,4,2,0.84350E-03*,0.96729E-01,157.50,-0.71342,
233,6P-7d,123718.74383862,106632.43389,107440.71885,4,4,0.28402E-03*,0.65140E-01,106.07,-0.58409,
